Launching GPU 4 -> scripts/tune_results/tune_cutedsl_g4.json
Launching GPU 5 -> scripts/tune_results/tune_cutedsl_g5.json
Launching GPU 6 -> scripts/tune_results/tune_cutedsl_g6.json
Launching GPU 7 -> scripts/tune_results/tune_cutedsl_g7.json
Worker shard=0/4 cells=12 (of 48)  out=scripts/tune_results/tune_cutedsl_g4.json
Worker shard=1/4 cells=12 (of 48)  out=scripts/tune_results/tune_cutedsl_g5.json
Worker shard=3/4 cells=12 (of 48)  out=scripts/tune_results/tune_cutedsl_g7.json
Worker shard=2/4 cells=12 (of 48)  out=scripts/tune_results/tune_cutedsl_g6.json
[1/12] N=65536 K=256 D=64 dt=fp16: best={'BM': 128, 'BN': 128, 'use_ws': False} (12.7 us)  cell_time=12.8s  elapsed=12.8s
[1/12] N=1048576 K=256 D=64 dt=fp16: best={'BM': 128, 'BN': 64, 'use_ws': False} (104.5 us)  cell_time=12.8s  elapsed=12.8s
[1/12] N=1048576 K=256 D=64 dt=bf16: best={'BM': 128, 'BN': 64, 'use_ws': False} (103.1 us)  cell_time=12.8s  elapsed=12.8s
[1/12] N=65536 K=256 D=64 dt=bf16: best={'BM': 128, 'BN': 64, 'use_ws': False} (12.0 us)  cell_time=12.9s  elapsed=12.9s
[2/12] N=65536 K=4096 D=64 dt=fp16: best={'BM': 128, 'BN': 64, 'use_ws': False} (107.0 us)  cell_time=9.0s  elapsed=21.8s
[2/12] N=65536 K=4096 D=64 dt=bf16: best={'BM': 128, 'BN': 64, 'use_ws': False} (107.5 us)  cell_time=8.9s  elapsed=21.8s
[2/12] N=1048576 K=4096 D=64 dt=fp16: best={'BM': 128, 'BN': 64, 'use_ws': False} (1465.9 us)  cell_time=9.2s  elapsed=22.0s
[2/12] N=1048576 K=4096 D=64 dt=bf16: best={'BM': 128, 'BN': 64, 'use_ws': False} (1451.7 us)  cell_time=9.2s  elapsed=22.1s
[3/12] N=65536 K=65536 D=64 dt=fp16: best={'BM': 128, 'BN': 64, 'use_ws': False} (1662.1 us)  cell_time=9.3s  elapsed=31.1s
[3/12] N=65536 K=65536 D=64 dt=bf16: best={'BM': 128, 'BN': 64, 'use_ws': False} (1659.7 us)  cell_time=9.3s  elapsed=31.1s
[3/12] N=1048576 K=65536 D=64 dt=bf16: best={'BM': 128, 'BN': 64, 'use_ws': False} (24394.4 us)  cell_time=13.9s  elapsed=35.9s
